exon_id,gene_symbol,chr_pos,exon_number,transcript_id,gc_content_pct,agilent_depth,illumina_depth,agilent_criticality,illumina_criticality,rank_percentile,pathology_category,design_notes
CDKL5_Exon1_chrX:18400000-18400160,CDKL5,chrX:18400000-18400160,Exon 1,NM_003159.3,80.4,17.1,105.4,P1 (Échec),Standard,4.4,Syndrome lié à CDKL5 (Épilepsie X),Opportunité Design Illumina : Couvrance exonique rétablie
GBA1_Exon9_chr1:155200000-155200180,GBA1,chr1:155200000-155200180,Exon 9,NM_000157.4,68.2,13.5,62.1,P1 (Échec),P10 (Avertissement),4.8,Maladie de Gaucher / Parkinson,Zone complexe pseudogène - Amélioration partielle Illumina
MUC16_Exon45_chr19:8900000-8900200,MUC16,chr19:8900000-8900200,Exon 45,NM_024835.3,71.5,11.2,14.8,P1 (Échec),P1 (Échec),5.2,Oncologie Somatique,Zone réfractaire double échec aux deux kits
ARID1A_Exon1_chr1:27000000-27000180,ARID1A,chr1:27000000-27000180,Exon 1,NM_006015.6,83.1,16.4,131.2,P1 (Échec),Standard,5.7,Syndrome de Coffin-Siris / Onco,Opportunité Design Illumina : Gain majeur sur GC high
KCNQ3_Exon1_chr8:132000000-132000160,KCNQ3,chr8:132000000-132000160,Exon 1,NM_004519.4,78.2,18.9,114.5,P1 (Échec),Standard,6.1,Épilepsie Bénigne Néonatale,Opportunité Design Illumina : Sécurisation du 1er exon
SCN2A_Exon1_chr2:166100000-166100150,SCN2A,chr2:166100000-166100150,Exon 1,NM_021007.3,79.1,19.8,122.0,P1 (Échec),Standard,6.6,Trouble du Spectre Autistique / Épilepsie,Opportunité Design Illumina : Rehaussement de couvrance
NF1_Exon1_chr17:29420000-29420180,NF1,chr17:29420000-29420180,Exon 1,NM_000267.3,76.5,22.4,116.8,P5 (Sub-optimal),Standard,7.1,Neurofibromatose de Type 1,Passage de P5 à Standard chez Illumina
PTPN11_Exon1_chr12:112800000-112800160,PTPN11,chr12:112800000-112800160,Exon 1,NM_002834.5,77.4,21.0,109.4,P5 (Sub-optimal),Standard,7.6,Syndrome de Noonan,Sécurisation diagnostique Illumina
GLI3_Exon1_chr7:42000000-42000180,GLI3,chr7:42000000-42000180,Exon 1,NM_000168.6,81.0,14.8,125.6,P1 (Échec),Standard,8.2,Syndrome de Greig / Polydactylie,Opportunité Design Illumina
CHD8_Exon1_chr14:21800000-21800180,CHD8,chr14:21800000-21800180,Exon 1,NM_001170629.2,79.8,17.6,118.0,P1 (Échec),Standard,8.8,Autisme & Déficience Intellectuelle,Opportunité Design Illumina
SMARCA4_Exon1_chr19:11000000-110000180,SMARCA4,chr19:11000000-110000180,Exon 1,NM_001128849.2,82.0,15.9,127.4,P1 (Échec),Standard,9.4,Syndrome Rhabdoïde / Onco,Opportunité Design Illumina : Réponse au biais GC
KMT2D_Exon1_chr12:49000000-49000180,KMT2D,chr12:49000000-49000180,Exon 1,NM_003482.4,80.5,18.1,113.2,P1 (Échec),Standard,9.9,Syndrome de Kabuki,Opportunité Design Illumina : Couvrance exon 1 consolidée
